query_id,query_text,site,tool,rank,url,cosine_score,is_hit,url_match_pattern,normalized_url,page_rank_after_collapse
huggingface-transformers:0,What is the command to install Transformers using uv?,huggingface-transformers,markcrawl,1,https://huggingface.co/docs/transformers/installation,0.6214618821177216,true,installation,https://huggingface.co/docs/transformers/installation,1
huggingface-transformers:0,What is the command to install Transformers using uv?,huggingface-transformers,markcrawl,2,https://huggingface.co/docs/transformers/v5.8.0/en/installation,0.6214618821177216,true,installation,https://huggingface.co/docs/transformers/v5.8.0/en/installation,2
huggingface-transformers:0,What is the command to install Transformers using uv?,huggingface-transformers,markcrawl,3,https://huggingface.co/docs/transformers/installation,0.5310834100623908,true,installation,https://huggingface.co/docs/transformers/installation,1
huggingface-transformers:0,What is the command to install Transformers using uv?,huggingface-transformers,markcrawl,4,https://huggingface.co/docs/transformers/v5.8.0/en/installation,0.5310834100623908,true,installation,https://huggingface.co/docs/transformers/v5.8.0/en/installation,2
huggingface-transformers:0,What is the command to install Transformers using uv?,huggingface-transformers,markcrawl,5,https://huggingface.co/docs/transformers/main/en/model_doc/glm4,0.5015346585181936,false,installation,https://huggingface.co/docs/transformers/main/en/model_doc/glm4,3
huggingface-transformers:1,How can I set up Transformers for offline usage?,huggingface-transformers,markcrawl,1,https://huggingface.co/docs/transformers/installation,0.5844249804437778,true,installation,https://huggingface.co/docs/transformers/installation,1
huggingface-transformers:1,How can I set up Transformers for offline usage?,huggingface-transformers,markcrawl,2,https://huggingface.co/docs/transformers/v5.8.0/en/installation,0.5844249804437778,true,installation,https://huggingface.co/docs/transformers/v5.8.0/en/installation,2
huggingface-transformers:1,How can I set up Transformers for offline usage?,huggingface-transformers,markcrawl,3,https://huggingface.co/docs/transformers/main/en/big_models,0.5202233371349644,false,installation,https://huggingface.co/docs/transformers/main/en/big_models,3
huggingface-transformers:1,How can I set up Transformers for offline usage?,huggingface-transformers,markcrawl,4,https://huggingface.co/docs/transformers/main/en/index,0.5199208987772034,false,installation,https://huggingface.co/docs/transformers/main/en/index,4
huggingface-transformers:1,How can I set up Transformers for offline usage?,huggingface-transformers,markcrawl,5,https://huggingface.co/docs/transformers/v5.8.0/en/installation,0.5118586101782613,true,installation,https://huggingface.co/docs/transformers/v5.8.0/en/installation,2
