query_id,query_text,site,tool,rank,url,cosine_score,is_hit,url_match_pattern,normalized_url,page_rank_after_collapse
huggingface-transformers:0,What is the command to install Transformers using uv?,huggingface-transformers,markcrawl,1,https://huggingface.co/docs/transformers/v5.8.0/en/installation,0.744066972936532,true,installation,https://huggingface.co/docs/transformers/v5.8.0/en/installation,1
huggingface-transformers:0,What is the command to install Transformers using uv?,huggingface-transformers,markcrawl,2,https://huggingface.co/docs/transformers/installation,0.744066972936532,true,installation,https://huggingface.co/docs/transformers/installation,2
huggingface-transformers:0,What is the command to install Transformers using uv?,huggingface-transformers,markcrawl,3,https://huggingface.co/docs/transformers/v5.8.0/en/model_doc/qwen3_5,0.6912020834793774,false,installation,https://huggingface.co/docs/transformers/v5.8.0/en/model_doc/qwen3_5,3
huggingface-transformers:0,What is the command to install Transformers using uv?,huggingface-transformers,markcrawl,4,https://huggingface.co/docs/transformers/main/en/model_doc/qwen2_5_vl,0.6838168835841087,false,installation,https://huggingface.co/docs/transformers/main/en/model_doc/qwen2_5_vl,4
huggingface-transformers:0,What is the command to install Transformers using uv?,huggingface-transformers,markcrawl,5,https://huggingface.co/docs/transformers/v5.8.0/en/model_doc/qwen3_5,0.6832498939507264,false,installation,https://huggingface.co/docs/transformers/v5.8.0/en/model_doc/qwen3_5,3
huggingface-transformers:1,How can I set up Transformers for offline usage?,huggingface-transformers,markcrawl,1,https://huggingface.co/docs/transformers/installation,0.7003669186194771,true,installation,https://huggingface.co/docs/transformers/installation,1
huggingface-transformers:1,How can I set up Transformers for offline usage?,huggingface-transformers,markcrawl,2,https://huggingface.co/docs/transformers/v5.8.0/en/installation,0.7003669186194771,true,installation,https://huggingface.co/docs/transformers/v5.8.0/en/installation,2
huggingface-transformers:1,How can I set up Transformers for offline usage?,huggingface-transformers,markcrawl,3,https://huggingface.co/docs/transformers/v5.8.0/en/model_doc/ministral3,0.6757516937572803,false,installation,https://huggingface.co/docs/transformers/v5.8.0/en/model_doc/ministral3,3
huggingface-transformers:1,How can I set up Transformers for offline usage?,huggingface-transformers,markcrawl,4,https://huggingface.co/docs/transformers/main/en/model_doc/pegasus,0.6592796348364339,false,installation,https://huggingface.co/docs/transformers/main/en/model_doc/pegasus,4
huggingface-transformers:1,How can I set up Transformers for offline usage?,huggingface-transformers,markcrawl,5,https://huggingface.co/docs/transformers/main/en/model_doc/qwen2,0.6541655039653104,false,installation,https://huggingface.co/docs/transformers/main/en/model_doc/qwen2,5
